,Hotel_Address,lat,lng,City,Country,lat_updated,lon_updated
349,25 Courtfield Gardens Kensington and Chelsea London SW5 0PG United Kingdom,51.4931086,-0.190208,London,United Kingdom,51.4893335,-0.144055085
350,25 rue des Saints P res 6th arr 75006 Paris France,48.8565778,2.3319767,Paris,France,48.8534951,2.3483915
351,25 Rue Theodore de Banville 17th arr 75017 Paris France,48.8827492,2.2982782,Paris,France,48.8534951,2.3483915
352,25 Rue Vernet 8th arr 75008 Paris France,48.871859,2.2978177,Paris,France,48.8534951,2.3483915
353,251 rue Saint Honor 1st arr 75001 Paris France,48.8671889,2.326927,Paris,France,48.8534951,2.3483915
354,252 High Holborn Holborn Camden London WC1V 7EN United Kingdom,51.5173303,-0.1180966,London,United Kingdom,51.4893335,-0.144055085
355,257 Rue De Vaugirard 15th arr 75015 Paris France,48.8399018,2.3031011,Paris,France,48.8534951,2.3483915
356,26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,51.4916677,-0.1947475,London,United Kingdom,51.4893335,-0.144055085
357,26 33 Queens Gardens Westminster Borough London W2 3BE United Kingdom,51.5134603,-0.1833081,London,United Kingdom,51.4893335,-0.144055085
358,26 42 Bond Street Ealing London W5 5AA United Kingdom,51.5117907,-0.306071,London,United Kingdom,51.4893335,-0.144055085
359,26 Cadogan Gardens Kensington and Chelsea London SW3 2RP United Kingdom,51.4930097,-0.159715,London,United Kingdom,51.4893335,-0.144055085
360,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,51.5043483,-0.0334436,London,United Kingdom,51.4893335,-0.144055085
361,27 33 Harrington Gardens Kensington and Chelsea London SW7 4JX United Kingdom,51.4928147,-0.1841753,London,United Kingdom,51.4893335,-0.144055085
362,27 avenue des Ternes 17th arr 75017 Paris France,48.8782679,2.294852,Paris,France,48.8534951,2.3483915
363,27 Devonshire Terrace Westminster Borough London W2 3DP United Kingdom,51.5135555,-0.180002,London,United Kingdom,51.4893335,-0.144055085
364,277 Carrer de Proven a Eixample 08037 Barcelona Spain,41.3961448,2.1631674,Barcelona,España,41.3828939,2.1774322
365,28 30 Seymour Street Westminster Borough London W1H 7JB United Kingdom,51.514839,-0.1586656,London,United Kingdom,51.4893335,-0.144055085
